Policy                   Size   HitRate  TokenSave    p50ms    p95ms    p99ms  Evictions   Mem MB      QPS
-----------------------------------------------------------------------------------------------------------------
FIFO                       50    0.0448     0.0330     37.2    115.4    180.5          0      2.4     19.7
LFU                        50    0.0706     0.0500     36.9    114.6    179.8          0      2.3     19.6
LRU                        50    0.0516     0.0314     37.3    115.0    178.6          0      2.3     19.7
W-TinyLFU + Cost           50    0.0718     0.0597     74.5    169.3    227.8          0      2.5     11.0
W-TinyLFU                  50    0.0644     0.0419     74.5    168.5    234.0          0      2.5     11.0
FIFO                      100    0.0629     0.0420     42.5    109.6    185.4          0      2.2     17.9
LFU                       100    0.0962     0.0717     42.1    103.9    190.3          0      2.2     17.6
LRU                       100    0.0735     0.0492     40.2    102.4    174.0          0      2.2     18.8
W-TinyLFU + Cost          100    0.0860     0.0690     74.6    145.7    202.9          0      2.3     11.4
W-TinyLFU                 100    0.0777     0.0532     69.6    136.4    192.1          0      2.3     12.7
FIFO                      200    0.0804     0.0527     39.2     63.2    155.5          0      2.1     18.8
LFU                       200    0.1158     0.0845     38.6     59.1    154.9          0      2.1     18.5
LRU                       200    0.0968     0.0695     40.0     60.6    165.6          0      2.1     17.8
W-TinyLFU + Cost          200    0.0978     0.0852     41.5     88.6    133.9          0      2.3     18.4
W-TinyLFU                 200    0.1004     0.0772     30.4     64.5     99.4          0      2.4     23.2
