Policy                   Size   HitRate  TokenSave    p50ms    p95ms    p99ms  Evictions   Mem MB      QPS
-----------------------------------------------------------------------------------------------------------------
FIFO                       50    0.2756     0.3856     39.0    117.0    201.5          0      1.7     15.0
LFU                        50    0.5051     0.7174     35.9     96.4    181.7          0      1.6     14.2
LRU                        50    0.3054     0.4397     38.9    111.9    201.1          0      1.7     14.9
W-TinyLFU + Cost           50    0.5377     0.7641     46.5    154.0    236.8          0      1.8     11.0
W-TinyLFU                  50    0.5039     0.7031     51.2    159.6    247.2          0      1.8     10.8
FIFO                      100    0.4427     0.5803     39.0     86.3    173.4          0      1.4     12.8
LFU                       100    0.5946     0.7979     36.6     80.7    159.8          0      1.4     12.6
LRU                       100    0.4962     0.6725     37.4     82.5    167.7          0      1.4     13.2
W-TinyLFU + Cost          100    0.7130     0.8888     44.8    113.9    175.8          0      1.5     11.5
W-TinyLFU                 100    0.6854     0.8541     50.6    109.0    172.4          0      1.5     12.0
FIFO                      200    0.6994     0.8093     41.2     71.9    103.1          0      1.4     14.3
LFU                       200    0.8351     0.9469     39.3     70.3     96.6          0      1.3     14.5
LRU                       200    0.8251     0.9314     42.7     74.0    109.0          0      1.3     12.7
W-TinyLFU + Cost          200    0.9190     0.9767     32.6     65.8     89.1          0      1.4     15.7
W-TinyLFU                 200    0.9346     0.9833     18.4     52.7     75.2          0      1.3     20.2
