Policy                   Size   HitRate  TokenSave    p50ms    p95ms    p99ms  Evictions   Mem MB      QPS
-----------------------------------------------------------------------------------------------------------------
FIFO                       50    0.0286     0.0148     45.0    105.7    186.8          0      2.4     19.0
LFU                        50    0.0543     0.0244     44.9    107.3    181.7          0      2.4     18.2
LRU                        50    0.0349     0.0169     44.9    103.9    186.0          0      2.4     18.9
W-TinyLFU + Cost           50    0.0441     0.0300     71.7    166.6    222.5          0      2.4     11.6
W-TinyLFU                  50    0.0424     0.0270     71.7    166.7    228.5          0      2.4     11.6
FIFO                      100    0.0419     0.0206     43.3    105.5    191.1          0      2.1     17.8
LFU                       100    0.0827     0.0537     42.6    101.9    187.6          0      2.2     17.5
LRU                       100    0.0519     0.0269     43.9     97.5    175.3          0      2.2     17.9
W-TinyLFU + Cost          100    0.0568     0.0357     80.2    183.4    267.3          0      2.3      9.9
W-TinyLFU                 100    0.0601     0.0317     79.0    182.8    262.6          0      2.3     10.2
FIFO                      200    0.0606     0.0307     50.4     92.5    209.8          0      2.1     15.1
LFU                       200    0.0912     0.0535     49.2     91.3    213.7          0      2.2     15.0
LRU                       200    0.0709     0.0363     46.2     91.1    196.6          0      2.1     15.7
W-TinyLFU + Cost          200    0.0788     0.0489     46.0    127.1    202.0          0      2.3     14.9
W-TinyLFU                 200    0.0715     0.0408     26.6     75.2    122.2          0      2.3     22.2
